,countyFIPS,stateFIPS,date,Confirmed_cases
137,5051,5,01-02-2021,409.22
138,5053,5,01-02-2021,64.05
139,5055,5,01-02-2021,110.42
140,5057,5,01-02-2021,59.66
141,5059,5,01-02-2021,96.01
142,5061,5,01-02-2021,26.66
143,5063,5,01-02-2021,106.09
144,5065,5,01-02-2021,12.09
145,5067,5,01-02-2021,127.78
146,5069,5,01-02-2021,638.84
147,5071,5,01-02-2021,70.14
148,5073,5,01-02-2021,4.06
149,5075,5,01-02-2021,38.58
150,5077,5,01-02-2021,49.52
151,5079,5,01-02-2021,15.33
152,5081,5,01-02-2021,14.1
153,5083,5,01-02-2021,87.02
154,5085,5,01-02-2021,846.32
155,5087,5,01-02-2021,21.53
156,5089,5,01-02-2021,38.11
157,5091,5,01-02-2021,234.62
158,5093,5,01-02-2021,123.78
159,5095,5,01-02-2021,6.08
160,5097,5,01-02-2021,7.97
161,5099,5,01-02-2021,6.1
162,5101,5,01-02-2021,4.24
163,5103,5,01-02-2021,140.01
164,5105,5,01-02-2021,12.88
165,5107,5,01-02-2021,342.39
166,5109,5,01-02-2021,3.34
167,5111,5,01-02-2021,81.48
168,5113,5,01-02-2021,78.58
169,5115,5,01-02-2021,229
170,5117,5,01-02-2021,2.1
171,5119,5,01-02-2021,3952.28
172,5121,5,01-02-2021,38.5
173,5123,5,01-02-2021,109.95
174,5125,5,01-02-2021,1052.39
175,5127,5,01-02-2021,10.26
176,5129,5,01-02-2021,5.51
177,5131,5,01-02-2021,1034.46
178,5133,5,01-02-2021,54.51
179,5135,5,01-02-2021,34.88
180,5137,5,01-02-2021,10.12
181,5139,5,01-02-2021,102.26
182,5141,5,01-02-2021,33.59
183,5143,5,01-02-2021,602.83
184,5145,5,01-02-2021,221.1
185,5147,5,01-02-2021,4.06
186,5149,5,01-02-2021,84.22
187,6001,6,01-02-2021,67819.3
188,6003,6,01-02-2021,2.61
189,6005,6,01-02-2021,1680.17
190,6007,6,01-02-2021,20304.45
191,6009,6,01-02-2021,2255.62
192,6011,6,01-02-2021,689.18
193,6013,6,01-02-2021,57785.46
194,6015,6,01-02-2021,1918.6
195,6017,6,01-02-2021,17595.22
196,6019,6,01-02-2021,64329.93
197,6021,6,01-02-2021,1222.79
198,6023,6,01-02-2021,6589.03
199,6025,6,01-02-2021,16942.73
200,6027,6,01-02-2021,599.61
201,6029,6,01-02-2021,68617.95
202,6031,6,01-02-2021,15791.92
203,6033,6,01-02-2021,3056.73
204,6035,6,01-02-2021,1767.74
205,6037,6,01-02-2021,561852.79
206,6039,6,01-02-2021,8143.6
207,6041,6,01-02-2021,30242.89
208,6043,6,01-02-2021,566.18
209,6045,6,01-02-2021,2945.63
210,6047,6,01-02-2021,36455.74
211,6049,6,01-02-2021,5.29
212,6051,6,01-02-2021,315.67
213,6053,6,01-02-2021,41258.61
214,6055,6,01-02-2021,7699.94
215,6057,6,01-02-2021,3231.07
216,6059,6,01-02-2021,206784.79
217,6061,6,01-02-2021,34641.1
218,6063,6,01-02-2021,608.42
219,6065,6,01-02-2021,206957.09
220,6067,6,01-02-2021,116583.21
221,6069,6,01-02-2021,3254.2
222,6071,6,01-02-2021,211256.66
223,6073,6,01-02-2021,206073.05
224,6075,6,01-02-2021,56049.51
225,6077,6,01-02-2021,50474.01
226,6079,6,01-02-2021,34739.31
227,6081,6,01-02-2021,47858.33
228,6083,6,01-02-2021,41411.43
229,6085,6,01-02-2021,192336.46
230,6087,6,01-02-2021,35695.86
231,6089,6,01-02-2021,13821.84
232,6091,6,01-02-2021,5.12
233,6093,6,01-02-2021,2326.87
234,6095,6,01-02-2021,39399.01
235,6097,6,01-02-2021,32963.37
236,6099,6,01-02-2021,45013.22
237,6101,6,01-02-2021,3185.23
238,6103,6,01-02-2021,2045.79
239,6105,6,01-02-2021,151.36
240,6107,6,01-02-2021,36657.5
241,6109,6,01-02-2021,2464.32
242,6111,6,01-02-2021,58402.72
243,6113,6,01-02-2021,15562.03
244,6115,6,01-02-2021,2995.2
245,8001,8,01-02-2021,6651.11
246,8003,8,01-02-2021,27.9
247,8005,8,01-02-2021,7798.24
248,8007,8,01-02-2021,53.18
249,8009,8,01-02-2021,1.11
250,8011,8,01-02-2021,56.53
251,8013,8,01-02-2021,5538.5
252,8014,8,01-02-2021,975.47
253,8015,8,01-02-2021,102.66
254,8017,8,01-02-2021,4.78
255,8019,8,01-02-2021,42.33
256,8021,8,01-02-2021,2.93
257,8023,8,01-02-2021,2.28
258,8025,8,01-02-2021,56.53
259,8027,8,01-02-2021,4.66
260,8029,8,01-02-2021,141.29
261,8031,8,01-02-2021,9708.65
262,8033,8,01-02-2021,0.99
263,8035,8,01-02-2021,5528.06
264,8037,8,01-02-2021,490.78
265,8039,8,01-02-2021,145.54
266,8041,8,01-02-2021,7091.73
267,8043,8,01-02-2021,178.33
268,8045,8,01-02-2021,370.81
269,8047,8,01-02-2021,6.08
270,8049,8,01-02-2021,49.19
271,8051,8,01-02-2021,143.5
272,8053,8,01-02-2021,5.03
273,8055,8,01-02-2021,2.6
274,8057,8,01-02-2021,4.8
275,8059,8,01-02-2021,6461.13
276,8061,8,01-02-2021,0.99
277,8063,8,01-02-2021,4.19
278,8065,8,01-02-2021,5.83
279,8067,8,01-02-2021,391.5
280,8069,8,01-02-2021,6051.57
281,8071,8,01-02-2021,10.32
282,8073,8,01-02-2021,1.53
283,8075,8,01-02-2021,220.07
284,8077,8,01-02-2021,890.13
285,8079,8,01-02-2021,6.07
286,8081,8,01-02-2021,46.83
287,8083,8,01-02-2021,169.35
288,8085,8,01-02-2021,127.91
289,8087,8,01-02-2021,245.34
290,8089,8,01-02-2021,27.98
291,8091,8,01-02-2021,6.25
292,8093,8,01-02-2021,56.89
293,8095,8,01-02-2021,4.9
294,8097,8,01-02-2021,80.79
295,8099,8,01-02-2021,7.9
296,8101,8,01-02-2021,609.44
297,8103,8,01-02-2021,5.88
298,8105,8,01-02-2021,4.77
299,8107,8,01-02-2021,161.75
300,8109,8,01-02-2021,2.28
301,8111,8,01-02-2021,4.9
302,8113,8,01-02-2021,11.84
303,8115,8,01-02-2021,1.56
304,8117,8,01-02-2021,1003.96
305,8119,8,01-02-2021,150.87
306,8121,8,01-02-2021,4.53
307,8123,8,01-02-2021,1583.47
308,8125,8,01-02-2021,26.67
309,9001,9,01-02-2021,13625.27
310,9003,9,01-02-2021,11420.36
311,9005,9,01-02-2021,665.06
312,9007,9,01-02-2021,830.09
313,9009,9,01-02-2021,16070.11
314,9011,9,01-02-2021,1300.77
315,9013,9,01-02-2021,707.03
316,9015,9,01-02-2021,608.65
317,10001,10,01-02-2021,520.2
318,10003,10,01-02-2021,9874.68
319,10005,10,01-02-2021,708.9
320,11001,11,01-02-2021,2938.78
321,12001,12,01-02-2021,19821.06
322,12003,12,01-02-2021,1270.64
323,12005,12,01-02-2021,13065.39
324,12007,12,01-02-2021,1750.21
325,12009,12,01-02-2021,46320.78
326,12011,12,01-02-2021,107756.76
327,12013,12,01-02-2021,150.93
328,12015,12,01-02-2021,11635.98
329,12017,12,01-02-2021,5433.72
330,12019,12,01-02-2021,16955.68
331,12021,12,01-02-2021,23126.33
332,12023,12,01-02-2021,3673.54
333,12027,12,01-02-2021,1515.85
334,12029,12,01-02-2021,597.26
335,12031,12,01-02-2021,81018.45
336,12033,12,01-02-2021,26671.18
337,12035,12,01-02-2021,5027.73
338,12037,12,01-02-2021,32.68
339,12039,12,01-02-2021,2699.88
340,12041,12,01-02-2021,575.71
341,12043,12,01-02-2021,47.21
342,12045,12,01-02-2021,506.69
343,12047,12,01-02-2021,968.27
344,12049,12,01-02-2021,1643.14
345,12051,12,01-02-2021,1535.26
346,12053,12,01-02-2021,14920.14
347,12055,12,01-02-2021,4792.58
348,12057,12,01-02-2021,98553.77
349,12059,12,01-02-2021,717.5
350,12061,12,01-02-2021,10596.76
351,12063,12,01-02-2021,2296.39
352,12065,12,01-02-2021,235.7
353,12067,12,01-02-2021,10.76
354,12069,12,01-02-2021,21011.36
355,12071,12,01-02-2021,53148.11
356,12073,12,01-02-2021,20562.02
357,12075,12,01-02-2021,2123.05
358,12077,12,01-02-2021,10.89
359,12079,12,01-02-2021,757.88
360,12081,12,01-02-2021,24322.84
361,12083,12,01-02-2021,27612.79
362,12085,12,01-02-2021,10711
363,12086,12,01-02-2021,204472.49
364,12087,12,01-02-2021,5242.53
365,12089,12,01-02-2021,4153.75
366,12091,12,01-02-2021,16554.85
367,12093,12,01-02-2021,1647.9
368,12095,12,01-02-2021,88388.76
369,12097,12,01-02-2021,20567.79
370,12099,12,01-02-2021,106527.52
371,12101,12,01-02-2021,37334.74
372,12103,12,01-02-2021,81217.36
373,12105,12,01-02-2021,54800.13
374,12107,12,01-02-2021,3965.58
375,12109,12,01-02-2021,16895.12
376,12111,12,01-02-2021,21257.26
377,12113,12,01-02-2021,12956.12
378,12115,12,01-02-2021,38050.59
379,12117,12,01-02-2021,40358.51
380,12119,12,01-02-2021,4501.42
381,12121,12,01-02-2021,2414.22
382,12123,12,01-02-2021,1310.67
383,12125,12,01-02-2021,592.37
384,12127,12,01-02-2021,36642.42
385,12129,12,01-02-2021,3287.26
386,12131,12,01-02-2021,3225.07
387,12133,12,01-02-2021,1246.24
388,13001,13,01-02-2021,479.27
389,13003,13,01-02-2021,7.6
390,13005,13,01-02-2021,9.54
391,13007,13,01-02-2021,6.3
392,13009,13,01-02-2021,463.77
393,13011,13,01-02-2021,449.68
394,13013,13,01-02-2021,1089.55
395,13015,13,01-02-2021,1590.58
396,13017,13,01-02-2021,280.64
397,13019,13,01-02-2021,93.86
398,13021,13,01-02-2021,2651.94
399,13023,13,01-02-2021,37.36
400,13025,13,01-02-2021,63.79
401,13027,13,01-02-2021,58.46
402,13029,13,01-02-2021,564.99
403,13031,13,01-02-2021,1424.98
404,13033,13,01-02-2021,386.44
405,13035,13,01-02-2021,179.2
406,13037,13,01-02-2021,10.87
407,13039,13,01-02-2021,754.5
408,13043,13,01-02-2021,9.42
409,13045,13,01-02-2021,1656.1
410,13047,13,01-02-2021,963.37
411,13049,13,01-02-2021,15.51
412,13051,13,01-02-2021,5158.84
413,13053,13,01-02-2021,19.85
414,13055,13,01-02-2021,239.63
415,13057,13,01-02-2021,6527.07
416,13059,13,01-02-2021,2323.83
417,13061,13,01-02-2021,6.5
418,13063,13,01-02-2021,5872.84
419,13065,13,01-02-2021,6.4
420,13067,13,01-02-2021,11593.59
421,13069,13,01-02-2021,460.16
422,13071,13,01-02-2021,535.55
423,13073,13,01-02-2021,2134.47
424,13075,13,01-02-2021,775.59
425,13077,13,01-02-2021,2067.98
426,13079,13,01-02-2021,21.44
427,13081,13,01-02-2021,428.19
428,13083,13,01-02-2021,196.87
429,13085,13,01-02-2021,334.53
430,13087,13,01-02-2021,285.25
431,13089,13,01-02-2021,14007.19
432,13091,13,01-02-2021,137.39
433,13093,13,01-02-2021,31.33
434,13095,13,01-02-2021,2354.35
435,13097,13,01-02-2021,2288.23
436,13099,13,01-02-2021,8.79
437,13101,13,01-02-2021,6.33
438,13103,13,01-02-2021,919.64
439,13105,13,01-02-2021,342.06
440,13107,13,01-02-2021,134.89
441,13109,13,01-02-2021,8.69
442,13111,13,01-02-2021,160.71
443,13113,13,01-02-2021,1809.42
444,13115,13,01-02-2021,1558.69
445,13117,13,01-02-2021,3490.27
446,13119,13,01-02-2021,183.44
447,13121,13,01-02-2021,19914.95
448,13123,13,01-02-2021,409.16
449,13125,13,01-02-2021,2.57
450,13127,13,01-02-2021,1380.84
451,13129,13,01-02-2021,806.87
452,13131,13,01-02-2021,168.43
453,13133,13,01-02-2021,105.79
454,13135,13,01-02-2021,19948.51
455,13137,13,01-02-2021,546.66
456,13139,13,01-02-2021,4944.2
457,13141,13,01-02-2021,7.45
458,13143,13,01-02-2021,283.53
459,13145,13,01-02-2021,553.21
460,13147,13,01-02-2021,197.1
461,13149,13,01-02-2021,13.7
462,13151,13,01-02-2021,5282.78
463,13153,13,01-02-2021,2457.11
464,13155,13,01-02-2021,8.26
465,13157,13,01-02-2021,1092.29
466,13159,13,01-02-2021,57.9
467,13161,13,01-02-2021,41.02
468,13163,13,01-02-2021,107.48
469,13165,13,01-02-2021,6.7
470,13167,13,01-02-2021,7.44
471,13169,13,01-02-2021,535.9
472,13171,13,01-02-2021,776.42
473,13173,13,01-02-2021,7.93
474,13175,13,01-02-2021,488.3
475,13177,13,01-02-2021,809.35
476,13179,13,01-02-2021,1070.26
477,13181,13,01-02-2021,2.57
478,13183,13,01-02-2021,455.85
479,13185,13,01-02-2021,1439.71
480,13187,13,01-02-2021,436.78
481,13189,13,01-02-2021,376.8
482,13191,13,01-02-2021,56.98
483,13193,13,01-02-2021,26.68
484,13195,13,01-02-2021,394.66
485,13197,13,01-02-2021,6.09
486,13199,13,01-02-2021,381.42
487,13201,13,01-02-2021,6.08
488,13205,13,01-02-2021,551.84
489,13207,13,01-02-2021,352.5
490,13209,13,01-02-2021,1.49
491,13211,13,01-02-2021,544.95
492,13213,13,01-02-2021,448.11
493,13215,13,01-02-2021,2512.6
494,13217,13,01-02-2021,1554.86
495,13219,13,01-02-2021,525.83
496,13221,13,01-02-2021,42.97
497,13223,13,01-02-2021,2158.69
498,13225,13,01-02-2021,336.59
499,13227,13,01-02-2021,548.6
500,13229,13,01-02-2021,470.5
501,13231,13,01-02-2021,480.42
502,13233,13,01-02-2021,468.24
503,13235,13,01-02-2021,20.25
504,13237,13,01-02-2021,187.45
505,13239,13,01-02-2021,6.32
506,13241,13,01-02-2021,69.65
507,13243,13,01-02-2021,6.48
508,13245,13,01-02-2021,2571.26
509,13247,13,01-02-2021,1212.48
510,13249,13,01-02-2021,2.46
511,13251,13,01-02-2021,55.31
512,13253,13,01-02-2021,6.46
513,13255,13,01-02-2021,1091.29
514,13257,13,01-02-2021,141.59
515,13259,13,01-02-2021,10.87
516,13261,13,01-02-2021,507.27
517,13263,13,01-02-2021,6.27
518,13265,13,01-02-2021,6.32
519,13267,13,01-02-2021,364.49
520,13269,13,01-02-2021,6.51
521,13271,13,01-02-2021,175.42
522,13273,13,01-02-2021,6.5
523,13275,13,01-02-2021,459.84
524,13277,13,01-02-2021,491.61
525,13279,13,01-02-2021,272.14
526,13281,13,01-02-2021,11.59
527,13283,13,01-02-2021,10.23
528,13285,13,01-02-2021,1435.6
529,13287,13,01-02-2021,6.5
530,13289,13,01-02-2021,6.18
531,13291,13,01-02-2021,249.83
532,13293,13,01-02-2021,172.69
533,13295,13,01-02-2021,1026.15
534,13297,13,01-02-2021,1372.1
535,13299,13,01-02-2021,444.57
536,13301,13,01-02-2021,6.5
537,13303,13,01-02-2021,218.49
538,13305,13,01-02-2021,381.88
539,13307,13,01-02-2021,5.76
540,13309,13,01-02-2021,10.88
541,13311,13,01-02-2021,387.94
542,13313,13,01-02-2021,1559.44
543,13315,13,01-02-2021,6.69
544,13317,13,01-02-2021,6.14
545,13319,13,01-02-2021,9.49
546,13321,13,01-02-2021,134.8
547,15001,15,01-02-2021,621.05
548,15003,15,01-02-2021,2351.93
549,15005,15,01-02-2021,19.11
550,15007,15,01-02-2021,117.93
551,15009,15,01-02-2021,590.19
552,16001,16,01-02-2021,2043.37
553,16003,16,01-02-2021,4.55
554,16005,16,01-02-2021,127.44
555,16007,16,01-02-2021,5.15
556,16009,16,01-02-2021,6.52
557,16011,16,01-02-2021,132.49
558,16013,16,01-02-2021,43
559,16015,16,01-02-2021,7.31
560,16017,16,01-02-2021,120.34
561,16019,16,01-02-2021,75.32
562,16021,16,01-02-2021,6.95
563,16023,16,01-02-2021,4.54
564,16025,16,01-02-2021,5.2
565,16027,16,01-02-2021,603.64
566,16029,16,01-02-2021,12.88
567,16031,16,01-02-2021,19.95
568,16033,16,01-02-2021,4.54
569,16035,16,01-02-2021,6.55
570,16037,16,01-02-2021,4.54
571,16039,16,01-02-2021,21.42
572,16041,16,01-02-2021,7.38
573,16043,16,01-02-2021,10.28
574,16045,16,01-02-2021,7.43
575,16047,16,01-02-2021,10.36
576,16049,16,01-02-2021,8.73
577,16051,16,01-02-2021,36.85
578,16053,16,01-02-2021,19.95
579,16055,16,01-02-2021,224.24
580,16057,16,01-02-2021,99.03
581,16059,16,01-02-2021,6.65
582,16061,16,01-02-2021,4.55
583,16063,16,01-02-2021,6.4
584,16065,16,01-02-2021,89.28
585,16067,16,01-02-2021,22.37
586,16069,16,01-02-2021,119.42
587,16071,16,01-02-2021,5.15
588,16073,16,01-02-2021,7.34
589,16075,16,01-02-2021,17.77
590,16077,16,01-02-2021,6.6
591,16079,16,01-02-2021,7.33
592,16081,16,01-02-2021,13.49
593,16083,16,01-02-2021,138.05
594,16085,16,01-02-2021,11.88
595,16087,16,01-02-2021,6.87
596,17001,17,01-02-2021,948.62
597,17003,17,01-02-2021,7.84
598,17005,17,01-02-2021,108.52
599,17007,17,01-02-2021,1146.55
600,17009,17,01-02-2021,3.62
601,17011,17,01-02-2021,569.36
602,17013,17,01-02-2021,2.81
603,17015,17,01-02-2021,42.76
604,17017,17,01-02-2021,19.36
605,17019,17,01-02-2021,2997.54
606,17021,17,01-02-2021,398.4
607,17023,17,01-02-2021,108.31
608,17025,17,01-02-2021,21.6
609,17027,17,01-02-2021,914.32
610,17029,17,01-02-2021,688.86
611,17031,17,01-02-2021,114599.64
612,17033,17,01-02-2021,169.88
613,17035,17,01-02-2021,13.36
614,17037,17,01-02-2021,2266.29
615,17039,17,01-02-2021,108.04
616,17041,17,01-02-2021,433.96
617,17043,17,01-02-2021,16200.62
618,17045,17,01-02-2021,378.69
619,17047,17,01-02-2021,2.94
620,17049,17,01-02-2021,612.34
621,17051,17,01-02-2021,208.94
622,17053,17,01-02-2021,30.67
623,17055,17,01-02-2021,459.43
624,17057,17,01-02-2021,381.96
625,17059,17,01-02-2021,3.68
626,17061,17,01-02-2021,18.86
627,17063,17,01-02-2021,906.55
628,17065,17,01-02-2021,3.72
629,17067,17,01-02-2021,125.75
630,17069,17,01-02-2021,9.76
631,17071,17,01-02-2021,3.03
632,17073,17,01-02-2021,827.96
633,17075,17,01-02-2021,334.17
634,17077,17,01-02-2021,568.22
635,17079,17,01-02-2021,11.84
636,17081,17,01-02-2021,551.85
637,17083,17,01-02-2021,336.47
638,17085,17,01-02-2021,341.88
639,17087,17,01-02-2021,16.36
640,17089,17,01-02-2021,7463.58
641,17091,17,01-02-2021,2386.39
642,17093,17,01-02-2021,2634.03
643,17095,17,01-02-2021,532.59
644,17097,17,01-02-2021,8540.36
645,17099,17,01-02-2021,2088.46
646,17101,17,01-02-2021,84.58
647,17103,17,01-02-2021,545.25
648,17105,17,01-02-2021,679.33
649,17107,17,01-02-2021,696.88
650,17109,17,01-02-2021,392.02
651,17111,17,01-02-2021,7997.77
652,17113,17,01-02-2021,3623.37
653,17115,17,01-02-2021,1037.58
654,17117,17,01-02-2021,765.51
655,17119,17,01-02-2021,8188.29
656,17121,17,01-02-2021,655
657,17123,17,01-02-2021,26.24
658,17125,17,01-02-2021,29.18
659,17127,17,01-02-2021,44.65
660,17129,17,01-02-2021,42.08
661,17131,17,01-02-2021,115.27
662,17133,17,01-02-2021,869.18
663,17135,17,01-02-2021,386.01
664,17137,17,01-02-2021,565.2
665,17139,17,01-02-2021,73.2
666,17141,17,01-02-2021,953.19
667,17143,17,01-02-2021,2780.52
668,17145,17,01-02-2021,245.5
669,17147,17,01-02-2021,386.17
670,17149,17,01-02-2021,98.06
671,17151,17,01-02-2021,3.68
672,17153,17,01-02-2021,7.84
673,17155,17,01-02-2021,2.68
674,17157,17,01-02-2021,642.42
675,17159,17,01-02-2021,90.6
676,17161,17,01-02-2021,2395.11
677,17163,17,01-02-2021,4921.91
678,17165,17,01-02-2021,191.76
679,17167,17,01-02-2021,4830.08
680,17169,17,01-02-2021,2.84
681,17171,17,01-02-2021,2.84
682,17173,17,01-02-2021,339.96
683,17175,17,01-02-2021,3.03
684,17177,17,01-02-2021,860.36
685,17179,17,01-02-2021,2239.21
686,17181,17,01-02-2021,109.2
687,17183,17,01-02-2021,634.63
688,17185,17,01-02-2021,7.55
689,17187,17,01-02-2021,371.46
690,17189,17,01-02-2021,64.34
691,17191,17,01-02-2021,94.5
692,17193,17,01-02-2021,36.72
693,17195,17,01-02-2021,610.88
694,17197,17,01-02-2021,8216.92
695,17199,17,01-02-2021,958.84
696,17201,17,01-02-2021,6659.19
697,17203,17,01-02-2021,834.94
698,18001,18,01-02-2021,428.8
699,18003,18,01-02-2021,3233.63
700,18005,18,01-02-2021,806.99
701,18007,18,01-02-2021,2.67
702,18009,18,01-02-2021,8.96
703,18011,18,01-02-2021,814.56
704,18013,18,01-02-2021,49.17
705,18015,18,01-02-2021,220.95
706,18017,18,01-02-2021,267.33
707,18019,18,01-02-2021,1193.93
708,18021,18,01-02-2021,198.15
709,18023,18,01-02-2021,261.54
710,18025,18,01-02-2021,17.12
711,18027,18,01-02-2021,615.95
712,18029,18,01-02-2021,572.14
713,18031,18,01-02-2021,400.36
714,18033,18,01-02-2021,532.82
715,18035,18,01-02-2021,927.32
716,18037,18,01-02-2021,577.06
717,18039,18,01-02-2021,2297.11
718,18041,18,01-02-2021,68.28
719,18043,18,01-02-2021,773.79
720,18045,18,01-02-2021,69.53
721,18047,18,01-02-2021,244.81
722,18049,18,01-02-2021,194.87
723,18051,18,01-02-2021,317.59
724,18053,18,01-02-2021,386.86
725,18055,18,01-02-2021,247.7
726,18057,18,01-02-2021,4292.05
727,18059,18,01-02-2021,874.33
728,18061,18,01-02-2021,506.5
729,18063,18,01-02-2021,1730.34
730,18065,18,01-02-2021,303.32
731,18067,18,01-02-2021,660.5
732,18069,18,01-02-2021,349.17
733,18071,18,01-02-2021,584.67
734,18073,18,01-02-2021,626.66
735,18075,18,01-02-2021,77.83
736,18077,18,01-02-2021,239.31
737,18079,18,01-02-2021,283.14
738,18081,18,01-02-2021,1338.87
739,18083,18,01-02-2021,163.83
740,18085,18,01-02-2021,717.1
741,18087,18,01-02-2021,414.1
742,18089,18,01-02-2021,5074.68
743,18091,18,01-02-2021,839.98
744,18093,18,01-02-2021,515.27
745,18095,18,01-02-2021,1140.14
746,18097,18,01-02-2021,10395.49
747,18099,18,01-02-2021,467.43
748,18101,18,01-02-2021,10.9
749,18103,18,01-02-2021,267.59
750,18105,18,01-02-2021,1251.35
751,18107,18,01-02-2021,449.24
752,18109,18,01-02-2021,840.63
753,18111,18,01-02-2021,30.33
754,18113,18,01-02-2021,543.59
755,18115,18,01-02-2021,1.85
756,18117,18,01-02-2021,56.98
757,18119,18,01-02-2021,113.46
758,18121,18,01-02-2021,38.45
759,18123,18,01-02-2021,122.83
760,18125,18,01-02-2021,13.76
761,18127,18,01-02-2021,1512.78
762,18129,18,01-02-2021,352.46
763,18131,18,01-02-2021,14.23
